학교,과목,학년(학년군),성취기준 코드,성취기준 내용
중학교,국어,1~3학년,[9국01-01],화자의 의도와 관점을 추론하며 듣는다.
중학교,국어,1~3학년,[9국01-02],설득 전략을 비판적으로 분석하며 듣는다.
중학교,국어,1~3학년,[9국01-03],담화 공동체에 따른 듣기 말하기 방식의 다양성을 고려하여 듣고 말한다.
중학교,국어,1~3학년,[9국01-04],상대의 말을 경청하고 상대의 감정과 입장에 공감하는 반응을 보이며 대화한다.
중학교,국어,1~3학년,[9국01-05],면담의 다양한 목적과 상대를 고려하여 질문을 점검하고 효과적으로 면담한다.
중학교,국어,1~3학년,[9국01-06],다양한 자료를 재구성하여 내용을 체계적으로 조직하고 청중이 이해하기 쉽게 발표한다.
중학교,국어,1~3학년,[9국01-07],토의에서 다양한 의견을 교환하여 대안을 마련하고 문제를 해결한다.
중학교,국어,1~3학년,[9국01-08],토론에서 반론을 고려하여 타당한 논증을 구성하고 논리적으로 반박한다.
중학교,국어,1~3학년,[9국01-09],서로의 감정이나 바라는 바를 진솔하게 표현하면서 갈등을 조정한다.
중학교,국어,1~3학년,[9국01-10],"언어폭력의 문제점을 성찰하고, 서로를 존중하는 표현을 사용하여 말한다."
중학교,국어,1~3학년,[9국01-11],듣기 말하기 과정을 점검하고 듣기 말하기의 어려움을 효과적으로 조정한다.
중학교,국어,1~3학년,[9국02-01],읽기는 사회·문화적 맥락에서 의미를 구성하는 과정임을 이해하며 사회적 독서에 참여하고 사회적 독서 문화 형성에 기여한다.
중학교,국어,1~3학년,[9국02-02],읽기 목적과 글의 구조를 고려하며 글을 효과적으로 요약한다.
중학교,국어,1~3학년,[9국02-03],독자의 배경지식과 글에 나타난 정보 등을 활용하여 글에 드러나지 않은 의도나 관점을 추론하며 읽는다.
중학교,국어,1~3학년,[9국02-04],"복합양식으로 구성된 글이나 자료의 내용 타당성과 신뢰성, 표현 방법의 적절성을 평가하며 읽는다."
중학교,국어,1~3학년,[9국02-05],"글에 사용된 다양한 설명 방법과 논증 방법을 파악하고, 그 타당성을 평가하며 읽는다."
중학교,국어,1~3학년,[9국02-06],동일한 화제를 다룬 여러 글이나 자료를 주제 통합적으로 읽는다.
중학교,국어,1~3학년,[9국02-07],진로나 관심 분야에 대한 다양한 책이나 자료를 스스로 찾아 읽는다.
중학교,국어,1~3학년,[9국02-08],자신의 독서 상황과 수준에 맞는 글을 선정하고 읽기 과정을 점검·조정하며 읽는다.
중학교,국어,1~3학년,[9국03-01],대상의 특성에 적합한 설명 방법을 활용하여 글을 쓴다.
중학교,국어,1~3학년,[9국03-02],복수의 자료를 활용하여 다양한 형식으로 정보를 전달하는 글을 쓴다.
중학교,국어,1~3학년,[9국03-03],주장을 뒷받침할 수 있는 타당한 근거를 들고 적절한 표현을 사용하여 주장하는 글을 쓴다.
중학교,국어,1~3학년,[9국03-04],의견 차이가 있는 사안에 대해 자료를 수집하고 사회·문화적 맥락을 고려하며 주장하는 글을 쓴다.
중학교,국어,1~3학년,[9국03-05],자신의 삶과 경험을 바탕으로 정서를 진솔하게 표현하는 글을 쓴다.
중학교,국어,1~3학년,[9국03-06],다양한 표현을 활용하여 자신의 생각과 느낌이 드러나는 글을 쓰고 독자와 공유한다.
중학교,국어,1~3학년,[9국03-07],복합양식 자료를 활용하여 내용을 생성하고 글의 유형을 고려하여 내용을 조직하며 글을 쓴다.
중학교,국어,1~3학년,[9국03-08],"쓰기 과정과 전략을 점검·조정하며 글을 쓰고, 독자를 고려하여 글을 고쳐 쓴다."
중학교,국어,1~3학년,[9국03-09],"언어 공동체의 구성원인 필자로서 자신에 대해 성찰하며, 윤리적 소통 문화를 형성하는 데에 기여한다."
중학교,국어,1~3학년,[9국04-01],국어의 음운 체계와 문자 체계를 이해하고 국어생활에 활용한다.
중학교,국어,1~3학년,[9국04-02],단어의 짜임을 분석하여 새말 형성의 원리를 이해한다.
중학교,국어,1~3학년,[9국04-03],품사의 종류와 특성을 이해하고 국어 자료를 분석한다.
중학교,국어,1~3학년,[9국04-04],문장의 짜임을 이해하고 표현 효과를 고려하여 문장을 구성한다.
중학교,국어,1~3학년,[9국04-05],피동 표현과 인용 표현의 의도와 효과를 분석하고 상황에 맞게 활용한다.
중학교,국어,1~3학년,[9국04-06],한글 맞춤법의 기본 원리와 내용을 이해하고 국어생활에 적용한다.
중학교,국어,1~3학년,[9국04-07],세대 분야 매체에 따른 어휘의 양상과 쓰임을 분석하고 다양한 집단과 사회의 언어에 관용적 태도를 지닌다.
중학교,국어,1~3학년,[9국04-08],자신과 주변의 다양한 국어 실천 양상을 비판적으로 분석하여 언어와 자아 및 세계 사이의 관계를 인식한다.
중학교,국어,1~3학년,[9국05-01],"운율, 비유, 상징의 특성과 효과에 유의하며 작품을 감상하고 창작한다."
중학교,국어,1~3학년,[9국05-02],갈등의 진행과 해결 과정을 파악하며 작품을 감상한다.
중학교,국어,1~3학년,[9국05-03],인간의 성장을 다룬 작품을 읽으며 문학의 가치를 내면화한다.
중학교,국어,1~3학년,[9국05-04],보는 이나 말하는 이의 특성과 효과를 파악하며 작품을 감상한다.
중학교,국어,1~3학년,[9국05-05],작품에 반영된 사회·문화적 상황을 이해하며 작품을 감상한다.
중학교,국어,1~3학년,[9국05-06],자신의 경험을 개성적인 발상과 표현으로 형상화한다.
중학교,국어,1~3학년,[9국05-07],연관성이 있는 다른 작품들과의 관계를 파악하며 작품을 감상한다.
중학교,국어,1~3학년,[9국05-08],"근거를 바탕으로 작품을 해석하고, 다른 해석들과 비교하여 자신의 해석을 평가한다."
중학교,국어,1~3학년,[9국05-09],문학을 통해 타자를 이해하고 공동체의 문제에 참여하는 태도를 지닌다.
중학교,국어,1~3학년,[9국06-01],대중매체와 개인 인터넷 방송의 특성과 영향력을 비교한다.
중학교,국어,1~3학년,[9국06-02],소통 맥락과 수용자 참여 양상을 고려하여 상호 작용적 매체를 분석한다.
중학교,국어,1~3학년,[9국06-03],복합양식성을 고려하여 영상 매체 자료를 제작하고 공유한다.
중학교,국어,1~3학년,[9국06-04],"매체 소통에서의 권리와 책임을 이해하고, 수용자의 반응을 고려하며 매체 자료의 제작 과정을 성찰한다."
중학교,국어,1~3학년,[9국06-05],매체 자료의 재현 방식을 이해하고 광고나 홍보물을 분석한다.
중학교,국어,1~3학년,[9국06-06],사회·문화적 맥락을 고려하여 매체 자료의 공정성을 평가한다.
